Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,OS compliant Postcode,Admin_county_code,Admin_district_code,Admin_ward_code
2621,Lindfield Gardens,1250000,Flat / Apartment,1332,3,3,3,Hampstead,London,NW3 6PX,NW3 6PX,,Camden London Boro,Frognal and Fitzjohns Ward
2622,Portland Place,1050000,Flat / Apartment,631,2,2,2,Marylebone,London,W1B 1NX,W1B 1NX,,City of Westminster London Boro,Marylebone High Street Ward
2623,Fitzjames Avenue,1650000,Flat / Apartment,1641,3,3,3,,London,W14 0RP,W14 0RP,,Hammersmith and Fulham London Boro,Avonmore and Brook Green Ward
2624,Emmanuel Road,1600000,House,1962,4,4,4,,London,SW12 0HR,SW120HR,,Lambeth London Boro,Thornton Ward
2625,Common Road,5000000,House,5156,6,6,6,Stanmore,Middlesex,HA7 3JF,HA7 3JF,,Harrow London Boro,Harrow Weald Ward
2626,Aissele Place,899950,House,1743,3,3,3, Esher,Surrey,KT10 9RL,KT109RL,Surrey County,Elmbridge District (B),Esher Ward
2627,Claremont End,2650000,House,4141,5,5,5,Esher,Surrey,KT10 9LZ,KT109LZ,Surrey County,Elmbridge District (B),Esher Ward
2628,Belgrave Road,850000,Flat / Apartment,1100,2,2,2,Pimlico,London,SW1V 2BH,SW1V2BH,,City of Westminster London Boro,Tachbrook Ward
2629,Galesbury Road,1350000,House,1867,4,4,4,Wandsworth,London,SW18 2RL,SW182RL,,Wandsworth London Boro,Wandsworth Common Ward
2630,Alma Road,1825000,House,2140,4,4,4, Wandsworth,London,SW18 1AB,SW181AB,,Wandsworth London Boro,Fairfield Ward
2631,St. Ann's Hill,2350000,House,3801,7,7,7,Wandsworth,London,SW18 2RS,SW182RS,,Wandsworth London Boro,Fairfield Ward
2632,Burnell House,800000,Penthouse,1039,3,3,3,55 Peloton Avenue,London,E20 1GY,E20 1GY,,Newham London Boro,Stratford and New Town Ward
2633,Elm Tree Court,1100000,Flat / Apartment,1152,3,3,3,Elm Tree Road,London,NW8 9JT,NW8 9JT,,City of Westminster London Boro,Regent's Park Ward
2634,St. Thomas's Mews,799950,House,1160,3,3,3, Putney,London,SW18 1AX,SW181AX,,Wandsworth London Boro,East Putney Ward
2635,Hallowell Road,500000,House,792,2,2,2,Northwood,Middlesex,HA6 1DU,HA6 1DU,,Hillingdon London Boro,Northwood Ward
2636,Bolingbroke Grove,575000,Flat / Apartment,625,2,2,2,,London,SW11 1DB,SW111DB,,Wandsworth London Boro,Northcote Ward
2637,Aliwal Road,1375000,New development,1712,4,4,4,,London,SW11 1RD,SW111RD,,Wandsworth London Boro,Northcote Ward
2638,Southgate Road,1675000,House,1845,5,5,5,Islington,London,N1 3HX,DN1 3HX,,Doncaster District (B),Town Ward
2639,Welsby Court,700000,Flat / Apartment,964,2,2,2,Eaton Rise,London,W5 2EX,NW5 2EX,,Camden London Boro,Kentish Town Ward
2640,Gloucester Road,1400000,House,2151,5,5,5,Ealing,London,W5 4JB,NW5 4JB,,Camden London Boro,Haverstock Ward
2641,Bramham Gardens,3295000,Flat / Apartment,1846,3,3,3,,London,SW5 0JE,SW5 0JE,,Kensington and Chelsea London Boro,Redcliffe Ward
2642,Christian Court,489000,Flat / Apartment,660,2,2,2,Rotherhithe Street,London,SE16 5UA,SE165UA,,Southwark London Boro,Surrey Docks Ward
2643,Hollywood Court,1395000,Penthouse,831,2,2,2,Hollywood Road,London,SW10 9HR,SW109HR,,Kensington and Chelsea London Boro,Redcliffe Ward
2644,Hogarth Road,1200000,Flat / Apartment,834,1,1,1,,London,SW5 0QH,SW5 0QH,,Kensington and Chelsea London Boro,Earl's Court Ward
2645,Chiswick High Road,695000,Flat / Apartment,784,2,2,2,Chiswick,London,W4 1TE,NW4 1TE,,Barnet London Boro,Hendon Ward
2646,The Oxygen,500000,Flat / Apartment,822,2,2,2,18 Western Gateway,London,E16 1BL,E16 1BL,,Newham London Boro,Canning Town South Ward
2647,Lombard Wharf,950000,Flat / Apartment,880,2,2,2, Battersea,London,SW11 3GN,SW113GN,,Wandsworth London Boro,St. Mary's Park Ward
2648,Ashley Gardens,1525000,Flat / Apartment,1215,2,2,2,Thirleby Road,London,SW1P 1HN,SW1P1HN,,City of Westminster London Boro,Vincent Square Ward
2649,Hanover Gate Mansions,649950,Flat / Apartment,510,1,1,1,Park Road,London,NW1 4SN,NW1 4SN,,City of Westminster London Boro,Regent's Park Ward
2650,Rutland Gate,3495000,Penthouse,1409,3,3,3,Knightsbridge,London,SW7 1PL,SW7 1PL,,City of Westminster London Boro,Knightsbridge and Belgravia Ward
2651,Bramfield Road,850000,Flat / Apartment,1010,2,2,2,,London,SW11 6PY,SW116PY,,Wandsworth London Boro,Northcote Ward
2652,Warrington Crescent,4250000,Flat / Apartment,2750,4,4,4,Little Venice,London,W9 1EL,TW9 1EL,,Richmond upon Thames London Boro,South Richmond Ward
2653,Copsem Drive,2125000,House,3763,5,5,5,Esher,Surrey,KT10 9HD,KT109HD,Surrey County,Elmbridge District (B),Esher Ward
2654,Hogarth Road,775000,Flat / Apartment,624,2,2,2,,London,SW5 0PT,SW5 0PT,,Kensington and Chelsea London Boro,Earl's Court Ward
2655,The Lab Building,450000,Flat / Apartment,386,1,1,1, Clerkenwell,London,EC1R 4TW,EC1R4TW,,Islington London Boro,Clerkenwell Ward
2656,St. George's Drive,650000,Flat / Apartment,458,2,2,2,Pimlico,London,SW1V 4DJ,SW1V4DJ,,City of Westminster London Boro,Warwick Ward
2657,Rose Square,3850000,New development,1776,3,3,3,Fulham Road,London,SW3 6RS,SW3 6RS,,Kensington and Chelsea London Boro,Courtfield Ward
2658,Albert Gate Court,5500000,Flat / Apartment,2651,4,4,4,124 Knightsbridge,London,SW1X 7PE,SW1X7PE,,City of Westminster London Boro,Knightsbridge and Belgravia Ward
2659,Chelsea Towers,1300000,Flat / Apartment,832,2,2,2,Chelsea Manor Gardens,London,SW3 5PN,SW3 5PN,,Kensington and Chelsea London Boro,Royal Hospital Ward
2660,Ainsdale Road,900000,House,1253,3,3,3,,London,W5 1JX,W5  1JX,,Ealing London Boro,Hanger Hill Ward
2661,Ledbury Road,1500000,Flat / Apartment,1107,3,3,3,,London,W11 1HR,W11 1HR,,Kensington and Chelsea London Boro,Colville Ward
2662,Mysore Road,1075000,Duplex,1295,3,3,3,,London,SW11 5RY,SW115RY,,Wandsworth London Boro,Shaftesbury Ward
2663,Warrington Crescent,1150000,Flat / Apartment,928,2,2,2,Little Venice,London,W9 1EL,TW9 1EL,,Richmond upon Thames London Boro,South Richmond Ward
2664,Madrid Road,2950000,House,3953,4,4,4,Barnes,London,SW13 9PD,SW139PD,,Richmond upon Thames London Boro,Barnes Ward
2665,"Park Terrace, Warriner Gardens",2795000,House,2768,4,4,4,Battersea,London,SW11 4XW,SW114XW,,Wandsworth London Boro,Queenstown Ward
2666,Addison Park Mansions,1150000,Flat / Apartment,1100,3,3,3,Richmond Way,London,W14 0EB,W14 0EB,,Hammersmith and Fulham London Boro,Addison Ward
2667,Weston Green Road,1200000,House,1813,4,4,4,Thames Ditton,Surrey,KT7 0HY,KT7 0HY,Surrey County,Elmbridge District (B),Thames Ditton Ward
2668,Hyde Park Gardens Mews,2850000,House,1543,3,3,3,,London,W2 2NX,SW2 2NX,,Lambeth London Boro,Tulse Hill Ward
2669,Bonney Terrace,1900000,House,2090,4,4,4,Ravenscourt Park,London,W6 0SN,W6  0SN,,Hammersmith and Fulham London Boro,Ravenscourt Park Ward
2670,King Street,550000,Flat / Apartment,517,1,1,1,Hammersmith,London,W6 0RR,CW6 0RR,,Cheshire West and Chester (B),Tarvin & Kelsall Ward
2671,Hendham Road,1550000,House,1777,4,4,4,Wandsworth,London,SW17 7DH,SW177DH,,Wandsworth London Boro,Nightingale Ward
2672,Sandy Lane,2195000,House,3467,5,5,5,Teddington,Middlesex,TW11 0DR,TW110DR,,Richmond upon Thames London Boro,Teddington Ward
2673,Timber Yard,1000000,Flat / Apartment,902,1,1,1, Shoreditch,London,N1 6ND,BN1 6ND,,The City of Brighton and Hove (B),Preston Park Ward
2674,Foyle Road,2500000,New development,3682,5,5,5,Blackheath,London,SE3 7RH,SE3 7RH,,Greenwich London Boro,Blackheath Westcombe Ward
2675,Cecil Road,895000,House,1305,3,3,3,,London,SW19 1JR,SW191JR,,Merton London Boro,Abbey Ward
2676,Book House,650000,Flat / Apartment,797,2,2,2,45 East Hill,London,SW18 2QZ,SW182QZ,,Wandsworth London Boro,Fairfield Ward
2677,Cadogan Square,4150000,Flat / Apartment,1504,2,2,2,,London,SW1X 0JW,SW1X0JW,,Kensington and Chelsea London Boro,Brompton & Hans Town Ward
2678,Palace Court,1950000,Flat / Apartment,1883,3,3,3,Hampstead,London,NW3 6DN,NW3 6DN,,Camden London Boro,Frognal and Fitzjohns Ward
2679,Stevens Lane,1195000,House,2389,4,4,4, Esher,Surrey,KT10 0TT,KT100TT,Surrey County,Elmbridge District (B),Claygate Ward
2680,Coleherne Court,2750000,Flat / Apartment,1821,4,4,4,Old Brompton Road,London,SW5 0ED,SW5 0ED,,Kensington and Chelsea London Boro,Redcliffe Ward
2681,Godolphin Road,550000,Flat / Apartment,529,2,2,2,,London,W12 8JF,W12 8JF,,Hammersmith and Fulham London Boro,Shepherd's Bush Green Ward
2682,Ethelden Road,1500000,House,1860,4,4,4,,London,W12 7BG,W12 7BG,,Hammersmith and Fulham London Boro,Shepherd's Bush Green Ward
2683,Kersley Street,1950000,House,2090,4,4,4,,London,SW11 4PT,SW114PT,,Wandsworth London Boro,Latchmere Ward
2684,Clanricarde Gardens,2150000,Flat / Apartment,1830,4,4,4,,London,W2 4JH,NW2 4JH,,Brent London Boro,Mapesbury Ward
2685,Clancarty Road,2800000,House,2682,5,5,5,Fulham,London,SW6 3BB,SW6 3BB,,Hammersmith and Fulham London Boro,Sands End Ward
2686,Morella Road,750000,Flat / Apartment,816,2,2,2,,London,SW12 8UH,SW128UH,,Wandsworth London Boro,Balham Ward
2687,Christchurch Road,7000000,House,6388,8,8,8,East Sheen,London,SW14 7AN,SW147AN,,Richmond upon Thames London Boro,East Sheen Ward
2688,Chandlers Avenue,395000,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN,SE100NN,,Greenwich London Boro,Peninsula Ward
2689,Elgin Avenue,685000,Flat / Apartment,661,2,2,2,Maida Vale,London,W9 1NH,TW9 1NH,,Richmond upon Thames London Boro,South Richmond Ward
2690,Ashlar Court,795000,Flat / Apartment,986,2,2,2,21 Ravenscourt Gardens,London,W6 0TU,W6  0TU,,Hammersmith and Fulham London Boro,Ravenscourt Park Ward
2691,Twyford Abbey Road,699950,House,1029,3,3,3,,London,NW10 7HG,NW1 7HG,,Camden London Boro,Camden Town with Primrose Hill Ward
2692,Lanark Mansions,600000,Flat / Apartment,570,2,2,2,14 Lanark Road,London,W9 1DB,W9  1DB,,City of Westminster London Boro,Little Venice Ward
2693,Saltram Crescent,625000,Flat / Apartment,616,2,2,2,,London,W9 3HR,TW9 3HR,,Richmond upon Thames London Boro,Kew Ward
2694,Hermitage Court,775000,Flat / Apartment,832,3,3,3,Knighten Street,London,E1W 1PW,E1W 1PW,,Tower Hamlets London Boro,St. Katharine's & Wapping Ward
2695,Television Centre,1175000,Flat / Apartment,880,2,2,2,3 Wood Crescent,London,W12 7GN,W12 7GN,,Hammersmith and Fulham London Boro,Shepherd's Bush Green Ward
2696,Afghan Road,1200000,House,1449,4,4,4,,London,SW11 2QD,SW112QD,,Wandsworth London Boro,Latchmere Ward
2697,Regents Park Road,3000000,Flat / Apartment,1901,4,4,4,Primrose Hill,London,NW1 7TX,NW1 7TX,,Camden London Boro,Camden Town with Primrose Hill Ward
2698,Ormond Road,1895000,House,1772,4,4,4,Richmond,Surrey,TW10 6TH,TW106TH,,Richmond upon Thames London Boro,South Richmond Ward
2699,Elgin Avenue,975000,Flat / Apartment,787,2,2,2,Maida Vale,London,W9 2NS,W9  2NS,,City of Westminster London Boro,Maida Vale Ward
2700,Cholmeley Park,2650000,Penthouse,2402,5,5,5,Highgate,London,N6 5AD,LN6 5AD,Lincolnshire County,North Kesteven District,Skellingthorpe Ward
2701,Castelnau Court,575000,Flat / Apartment,793,3,3,3, Barnes,London,SW13 9DH,S13 9DH,,Sheffield District (B),Woodhouse Ward
2702,Dawson Place,3750000,Flat / Apartment,1657,3,3,3,,London,W2 4TJ,SW2 4TJ,,Lambeth London Boro,Streatham Hill Ward
2703,Balham Grove,730000,Flat / Apartment,893,2,2,2,,London,SW12 8AZ,SW128AZ,,Wandsworth London Boro,Balham Ward
2704,Willoughby Mews,1095000,House,1268,3,3,3,,London,SW4 0QH,SW4 0QH,,Lambeth London Boro,Clapham Town Ward
2705,Boscobel Place,4400000,House,2087,4,4,4,Belgravia,London,SW1W 9PE,SW1W9PE,,City of Westminster London Boro,Knightsbridge and Belgravia Ward
2706,Culford Grove,1850000,House,1625,4,4,4,,London,N1 4HR,EN1 4HR,,Enfield London Boro,Southbury Ward
2707,Haverstock Hill,1100000,Flat / Apartment,908,2,2,2,Hampstead,London,NW3 2BD,NW3 2BD,,Camden London Boro,Haverstock Ward
2708,Charlotte Lodge,430000,Flat / Apartment,826,2,2,2, Esher,Surrey,KT10 0LR,KT100LR,Surrey County,Elmbridge District (B),Claygate Ward
2709,Coleherne Court,1495000,Flat / Apartment,971,2,2,2,The Little Boltons,London,SW5 0DL,SW5 0DL,,Kensington and Chelsea London Boro,Redcliffe Ward
2710,Valley Road,375000,Flat / Apartment,504,1,1,1,,London,SW16 2AE,SW162AE,,Lambeth London Boro,Streatham Wells Ward
2711,Tooting High Street,425000,Flat / Apartment,473,1,1,1,,London,SW17 0GU,SW170GU,,Wandsworth London Boro,Graveney Ward
2712,Boundaries Road,675000,Flat / Apartment,767,2,2,2,,London,SW12 8BY,SW128BY,,Wandsworth London Boro,Nightingale Ward
2713,Lonsdale Road,3250000,House,3203,5,5,5,Barnes,London,SW13 9ED,SW139ED,,Richmond upon Thames London Boro,Barnes Ward
2714,Elmhurst Mansions,599950,Flat / Apartment,680,2,2,2,Edgeley Road,London,SW4 6HA,SW4 6HA,,Lambeth London Boro,Clapham Town Ward
2715,Lessar Avenue,1795000,House,2336,5,5,5,,London,SW4 9HQ,SW4 9HQ,,Lambeth London Boro,Clapham Common Ward
2716,The Butts,1495000,House,2322,4,4,4,Brentford,Middlesex,TW8 8BJ,TW8 8BJ,,Hounslow London Boro,Syon Ward
2717,Blakesley Avenue,1000000,Flat / Apartment,1380,2,2,2,,London,W5 2DW,W5  2DW,,Ealing London Boro,Ealing Broadway Ward
2718,Colinette Road,940000,Flat / Apartment,1155,2,2,2,Putney,London,SW15 6QQ,SW156QQ,,Wandsworth London Boro,West Putney Ward
2719,Homefield Road,399950,Flat / Apartment,305,1,1,1,Wimbledon,London,SW19 4QF,SW194QF,,Merton London Boro,Village Ward
2720,Bow Quarter,365000,Flat / Apartment,415,1,1,1,60 Fairfield Road,London,E3 2UJ,E3  2UJ,,Tower Hamlets London Boro,Bow East Ward
2721,Marlborough,750000,Flat / Apartment,892,2,2,2,Maida Vale,London,W9 1RW,TW9 1RW,,Richmond upon Thames London Boro,South Richmond Ward
2722,Wandsworth Common West Side,1850000,House,2247,5,5,5,Wandsworth,London,SW18 2EE,S18 2EE,Derbyshire County,North East Derbyshire District,Coal Aston Ward
2723,Bournebridge Lane,1825000,House,3918,6,6,6,Stapleford Abbotts,Romford,RM4 1LT,RM4 1LT,Essex County,Epping Forest District,Passingford Ward
2724,King Henrys Road,1000000,Flat / Apartment,892,2,2,2,Primrose Hill,London,NW3 3QP,NW3 3QP,,Camden London Boro,Camden Town with Primrose Hill Ward
2725,Rutland Gate,1275000,Flat / Apartment,675,2,2,2,,London,SW7 1PD,SW7 1PD,,City of Westminster London Boro,Knightsbridge and Belgravia Ward
2726,Ascensis Tower,2250000,Flat / Apartment,1945,3,3,3, Battesea,London,SW18 1AY,SW181AY,,Wandsworth London Boro,St. Mary's Park Ward
2727,Goldings Rise,775000,House,1285,3,3,3,Loughton,Essex,IG10 2QP,IG102QP,Essex County,Epping Forest District,Loughton St. John's Ward
2728,Oakley Square,3750000,House,4847,6,6,6,Camden,London,NW1 1NJ,NW1 1NJ,,Camden London Boro,Regent's Park Ward
2729,Liverpool Road,750000,Flat / Apartment,880,2,2,2,Lower Holloway,London,N7 8PG,N7  8PG,,Islington London Boro,St. Mary's Ward
2730,Jasmine House,500000,Flat / Apartment,680,2,2,2, Battersea,London,SW18 1GJ,SW181GJ,,Wandsworth London Boro,St. Mary's Park Ward
2731,Admiral Court,1600000,Flat / Apartment,1282,2,2,2, Chelsea Harbour,London,SW10 0UU,SW100UU,,Hammersmith and Fulham London Boro,Sands End Ward
2732,Seward Street,700000,Flat / Apartment,836,2,2,2,Clerkenwell,London,EC1V 3PA,EC1V3PA,,Islington London Boro,Bunhill Ward
2733,Shirland Road,780000,Flat / Apartment,767,2,2,2,Maida Vale,London,W9 2EQ,TW9 2EQ,,Richmond upon Thames London Boro,Kew Ward
2734,Graham Terrace,2750000,House,1782,4,4,4,Belgravia,London,SW1W 8JE,SW1W8JE,,City of Westminster London Boro,Churchill Ward
2735,Lexham Gardens,660000,Flat / Apartment,603,1,1,1,,London,W8 6JE,KW8 6JE,,Highland,East Sutherland and Edderton Ward
2736,Mandrake Road,1195000,House,1602,5,5,5,,London,SW17 7PT,SW177PT,,Wandsworth London Boro,Tooting Ward
2737,Inglethorpe Street,1699000,House,1993,5,5,5,Fulham,London,SW6 6NX,SW6 6NX,,Hammersmith and Fulham London Boro,Palace Riverside Ward
2738,Cedarside Apartments,800000,Flat / Apartment,937,2,2,2,3 Albert Road,Queens Park,NW6 5FT,NW6 5FT,,Brent London Boro,Kilburn Ward
2739,Blandfield Road,1250000,House,1450,3,3,3,,London,SW12 8BG,SW128BG,,Wandsworth London Boro,Balham Ward
2740,Densham House,800000,Flat / Apartment,945,3,3,3, St. John's Wood,London,NW8 7NT,NW8 7NT,,City of Westminster London Boro,Regent's Park Ward
2741,Gorst Road,2250000,House,2351,5,5,5,,London,SW11 6JE,SW116JE,,Wandsworth London Boro,Northcote Ward
2742,Horizons Tower,1250000,Flat / Apartment,1203,2,2,2, Canary Wharf,London,E14 9RG,E14 9RG,,Tower Hamlets London Boro,Blackwall & Cubitt Town Ward
2743,Thirlmere Road,1875000,House,3478,7,7,7,,London,SW16 1QW,SW161QW,,Lambeth London Boro,St. Leonard's Ward
2744,Greenford Avenue,1250000,House,2804,5,5,5,Hanwell,London,W7 3QS,NW7 3QS,,Barnet London Boro,Mill Hill Ward
2745,Stokenchurch Street,2750000,House,2605,6,6,6, Fulham,London,SW6 3TR,SW6 3TR,,Hammersmith and Fulham London Boro,Parsons Green and Walham Ward
2746,Winfrith Road,550000,Flat / Apartment,896,2,2,2,,London,SW18 3BD,S18 3BD,Derbyshire County,North East Derbyshire District,Coal Aston Ward
2747,Great Titchfield Street,745000,Flat / Apartment,703,2,2,2,Fitzrovia,London,W1W 6RR,W1W 6RR,,City of Westminster London Boro,West End Ward
2748,Dorland Court,525000,Flat / Apartment,654,2,2,2, Putney,London,SW15 2UG,SW152UG,,Wandsworth London Boro,East Putney Ward
2749,Canaletto Tower,1150000,Flat / Apartment,882,2,2,2,257 City Road,London,EC1V 1AE,EC1V1AE,,Islington London Boro,St. Peter's Ward
2750,Macfarlane Road,2500000,House,2861,5,5,5,,London,W12 7JY,W12 7JY,,Hammersmith and Fulham London Boro,Shepherd's Bush Green Ward
2751,Forest Close,799999,House,2156,4,4,4,Waltham Abbey,Essex,EN9 3QR,EN9 3QR,Essex County,Epping Forest District,Waltham Abbey High Beach Ward
2752,Elsworthy Rise,1050000,New development,612,1,1,1,Primrose Hill,London,NW3 3DS,NW3 3DS,,Camden London Boro,Swiss Cottage Ward
2753,Bickenhall Street,2900000,Penthouse,1455,2,2,2,Marylebone,London,W1U 6BN,W1U 6BN,,City of Westminster London Boro,Bryanston and Dorset Square Ward
2754,Upper Wimpole Street,11950000,House,7226,5,5,5,Marylebone,London,W1G 6LU,W1G 6LU,,City of Westminster London Boro,Marylebone High Street Ward
2755,Sandown Avenue,3750000,House,5554,6,6,6,Esher,Surrey,KT10 9NT,KT109NT,Surrey County,Elmbridge District (B),Esher Ward
2756,Leopold Court,850000,Flat / Apartment,1344,2,2,2, Esher,Surrey,KT10 9BW,KT1 9BW,,Kingston upon Thames London Boro,Norbiton Ward
2757,Streathbourne Road,1975000,House,2910,7,7,7,,London,SW17 8QY,SW178QY,,Wandsworth London Boro,Bedford Ward
2758,Fairfax Road,2800000,House,2959,5,5,5, Chiswick,London,W4 1EW,W4  1EW,,Hounslow London Boro,Chiswick Homefields Ward
2759,Cranley Gardens,1400000,Flat / Apartment,732,2,2,2,South Kensington,London,SW7 3BD,SW7 3BD,,Kensington and Chelsea London Boro,Courtfield Ward
2760,White Hart Lane,725000,Flat / Apartment,1242,2,2,2,Barnes,London,SW13 0PZ,SW130PZ,,Richmond upon Thames London Boro,Mortlake and Barnes Common Ward
2761,Chenies Mews,2000000,Flat / Apartment,1335,2,2,2,,London,WC1E 6HU,WC1E6HU,,Camden London Boro,Bloomsbury Ward
2762,Overstrand Mansions,850000,Flat / Apartment,838,2,2,2,Prince of Wales Drive,London,SW11 4HA,SW114HA,,Wandsworth London Boro,Queenstown Ward
2763,Tottenham Road,255000,Flat / Apartment,440,1,1,1,De Beauvoir,London,N1 4EP,BN1 4EP,,The City of Brighton and Hove (B),St. Peter's and North Laine Ward
2764,Englewood Road,795000,Flat / Apartment,919,2,2,2,,London,SW12 9NZ,SW129NZ,,Lambeth London Boro,Clapham Common Ward
2765,Hollen Street,1500000,New development,843,1,1,1,Soho,London,W1F 8AZ,W1F 8AZ,,City of Westminster London Boro,West End Ward
2766,One Kensington Gardens,5950000,Penthouse,1993,3,3,3,4 De Vere Gardens,London,W8 5AE,W8  5AE,,Kensington and Chelsea London Boro,Queen's Gate Ward
2767,Courtnell Street,3250000,House,1813,3,3,3,,London,W2 5BX,CW2 5BX,,Cheshire East (B),Shavington Ward
2768,Chi Building,550000,Flat / Apartment,893,2,2,2,54 Crowder Street,London,E1 0EZ,E1  0EZ,,Tower Hamlets London Boro,Whitechapel Ward
2769,Patshull Road,500000,Flat / Apartment,418,1,1,1,Kentish Town,London,NW5 2JY,NW5 2JY,,Camden London Boro,Cantelowes Ward
2770,Ernle Road,2950000,House,3601,6,6,6,Wimbledon,London,SW20 0HJ,SW200HJ,,Merton London Boro,Village Ward
2771,Vanderbilt Road,1135000,House,1675,4,4,4, Wandsworth,London,SW18 3BG,S18 3BG,Derbyshire County,North East Derbyshire District,Coal Aston Ward
2772,Potter Street,775000,House,1469,4,4,4,Northwood,Middlesex,HA6 1QH,HA6 1QH,,Hillingdon London Boro,Northwood Hills Ward
2773,Freegrove Road,1799500,House,2761,6,6,6,Holloway,London,N7 9RG,N17 9RG,,Haringey London Boro,Tottenham Hale Ward
2774,Dalston Lane,650000,Flat / Apartment,1018,2,2,2,Hackney,London,E8 1LX,E18 1LX,,Redbridge London Boro,South Woodford Ward
2775,Wild Hatch,2350000,House,2835,4,4,4,Hampstead Garden Suburb,London,NW11 7LD,NW1 7LD,,Camden London Boro,Regent's Park Ward
2776,Earl's Court Square,795000,Flat / Apartment,666,2,2,2,,London,SW5 9DG,SW5 9DG,,Kensington and Chelsea London Boro,Earl's Court Ward
2777,Keepier Wharf,1900000,Flat / Apartment,1963,4,4,4, Limehouse,London,E14 8DH,E14 8DH,,Tower Hamlets London Boro,Limehouse Ward
2778,Cambridge Road,1950000,House,1907,5,5,5,Barnes,London,SW13 0PG,SW130PG,,Richmond upon Thames London Boro,Mortlake and Barnes Common Ward
2779,Soval Court,950000,Flat / Apartment,1580,3,3,3, Northwood,Middlesex,HA6 2FS,HA6 2FS,,Hillingdon London Boro,Northwood Ward
2780,Palace Gate,1850000,Flat / Apartment,1332,2,2,2,,London,W8 5LY,W8  5LY,,Kensington and Chelsea London Boro,Queen's Gate Ward
2781,Academy Gardens,4950000,New development,2011,2,2,2,Duchess of Bedfords Walk,London,W8 7QQ,W8  7QQ,,Kensington and Chelsea London Boro,Campden Ward
2782,Church Street,2685000,House,3873,6,6,6,Hampton,Middlesex,TW12 2EG,TW122EG,,Richmond upon Thames London Boro,Hampton Ward
2783,Nutley Terrace,3995000,House,3480,3,3,3,Hampstead,London,NW3 5BX,NW3 5BX,,Camden London Boro,Frognal and Fitzjohns Ward
2784,St. Edmunds Terrace,6975000,Flat / Apartment,2583,3,3,3,St John's Wood,London,NW8 7ED,NW8 7ED,,Camden London Boro,Swiss Cottage Ward
2785,Dunstable Mews,2250000,House,1269,2,2,2,Marylebone,London,W1G 6BT,W1G 6BT,,City of Westminster London Boro,Marylebone High Street Ward
2786,Elm Grove Road,2595000,House,3100,5,5,5,Barnes,London,SW13 0BX,SW130BX,,Richmond upon Thames London Boro,Barnes Ward
2787,Abbotts Close,650000,Flat / Apartment,767,2,2,2, Islington,London,N1 2HJ,BN1 2HJ,,The City of Brighton and Hove (B),Regency Ward
2788,Carmichael Court,685000,Flat / Apartment,783,3,3,3, Barnes,London,SW13 0HA,SW130HA,,Richmond upon Thames London Boro,Mortlake and Barnes Common Ward
2789,Pont Street,19450000,Flat / Apartment,4699,5,5,5,,London,SW1X 0AD,SW1X0AD,,Kensington and Chelsea London Boro,Brompton & Hans Town Ward
2790,Crescent Road,1650000,House,2809,4,4,4,Kingston upon Thames,Surrey,KT2 7RF,KT2 7RF,,Kingston upon Thames London Boro,Coombe Hill Ward
2791,Mint Street,600000,Flat / Apartment,1026,3,3,3,Bethnal Green,London,E2 6FX,E2  6FX,,Tower Hamlets London Boro,St. Peter's Ward
2792,Amhurst Road,515000,Flat / Apartment,518,1,1,1,Hackney,London,E8 1JH,E18 1JH,,Redbridge London Boro,Churchfields Ward
2793,Calico Apartments,699950,Flat / Apartment,743,2,2,2,18A Varden Street,London,E1 2AR,E1  2AR,,Tower Hamlets London Boro,Whitechapel Ward
2794,College Court,750000,Flat / Apartment,1072,4,4,4,Queen Caroline Street,London,W6 9DY,CW6 9DY,,Cheshire West and Chester (B),Tarporley Ward
2795,Battersea Park Road,599950,Flat / Apartment,657,2,2,2,Battersea,London,SW11 4ND,SW114ND,,Wandsworth London Boro,Latchmere Ward
2796,Clapham Common North Side,2695000,House,2567,5,5,5,,London,SW4 9SD,SW4 9SD,,Wandsworth London Boro,Shaftesbury Ward
2797,Coleherne Mews,3600000,New development,2000,3,3,3,,London,SW10 9DZ,SW109DZ,,Kensington and Chelsea London Boro,Redcliffe Ward
2798,Maine Tower,1050000,New development,1075,3,3,3, Canary Wharf,London,E14 9DQ,E14 9DQ,,Tower Hamlets London Boro,Canary Wharf Ward
2799,Regency Walk,525000,Bungalow,583,2,2,2,Richmond,Surrey,TW10 6AU,TW106AU,,Richmond upon Thames London Boro,South Richmond Ward
2800,Pendant Court,575000,Flat / Apartment,810,2,2,2, Newham,London,E16 2TF,E16 2TF,,Newham London Boro,Royal Docks Ward
2801,Yvon House,500000,Flat / Apartment,536,1,1,1,Alexandra Avenue,London,SW11 4GA,SW114GA,,Wandsworth London Boro,Queenstown Ward
2802,Norton House,795000,Flat / Apartment,753,2,2,2,Duke of Wellington Avenue,London,SE18 6EY,SE1 6EY,,Southwark London Boro,St. George's Ward
2803,Coborn Mews,550000,Flat / Apartment,574,2,2,2,Coborn Street,London,E3 2AB,E3  2AB,,Tower Hamlets London Boro,Bow West Ward
2804,Television Centre,1235000,Flat / Apartment,960,2,2,2,4 Wood Crescent,London,W12 7GP,W12 7GP,,Hammersmith and Fulham London Boro,Shepherd's Bush Green Ward
